dis_1 dis_2 ang_1 delta_int
1.10999 1.1134 99.28794 -0.0526224085
0.95315 0.91307 102.7016 0.0023571431
0.94583 1.34942 100.2493 -0.0347250111
0.85207 0.87296 139.85628 -0.1747464302
0.95921 0.95922 101.14435 -0.0000711221
0.92115 0.96613 111.05085 -0.0051999614
0.86017 0.93885 97.35885 0.0254080373
0.96764 0.94461 98.40466 0.0010265275
0.94488 0.94774 109.64826 -0.0037120425
0.99267 0.96856 102.10526 -0.0029405727
1.00224 1.13449 90.47812 -0.0954426959
1.06089 0.85308 115.74166 0.0093328326
0.95969 0.96017 101.0252 -0.0002114900
0.987 0.977 106.414 0.0023398485
0.95189 0.94338 112.81641 -0.0050957653
0.96853 0.9682 111.8617 0.0037340872
0.94985 0.95007 101.90331 0.0012266642
0.88934 0.91956 107.18049 -0.0103838371
0.8816 0.86317 103.12926 0.0029882420
0.99078 0.90443 118.03235 -0.0059844361
0.96041 0.95609 98.5395 0.0002053024
0.87274 0.88806 132.18176 -0.1136522566
0.95592 0.95764 114.89948 -0.0011273451
0.89359 0.87126 126.63921 -0.0914616290
0.96442 1.14028 82.49414 -0.1441907573
0.96466 0.9207 109.28194 -0.0041314062
0.9365 0.92455 96.26506 0.0142720154
0.98114 0.94066 106.15656 0.0005101270
0.92747 0.95646 103.22033 0.0011010946
0.92346 0.93119 115.49439 -0.0191853744
0.82986 1.195 106.91548 0.0278236109
1.05837 1.10553 107.35114 0.0084954459
0.93634 0.9379 114.645 -0.0120818992
0.94186 0.94773 105.45096 -0.0009671998
1.00476 1.00392 125.6601 0.0429698358
1.09018 0.8996 135.68789 0.0605831602
0.98549 0.96485 109.04526 0.0040428899
1.08623 0.90224 141.68911 0.0684030275
0.82839 1.16573 82.00356 -0.0796115127
0.9325 0.93735 114.11979 -0.0127393463
1.25547 0.97662 96.27675 -0.0712466197
0.97056 0.96414 109.06291 0.0021498513
0.93035 0.93203 100.38448 0.0063590825
0.83883 0.84619 114.56537 -0.0766174466
1.02283 0.99802 93.91406 -0.0337661082
0.94305 0.97963 90.3362 -0.0023745206
1.1865 1.18567 85.71751 -0.2604817092
0.9495 0.9603 105.34895 -0.0002097797
0.93542 0.92698 106.56985 -0.0038335906
1.00276 0.99197 87.272 -0.0445019899
1.01652 0.93626 98.31577 -0.0059231845
1.04787 1.10467 107.4257 0.0092470099
0.95814 0.95601 103.98216 0.0000317817
0.98108 0.90352 98.40076 0.0062575380
0.95769 0.94378 104.95881 -0.0002807359
0.95954 0.96147 98.68089 -0.0005652178
1.08207 1.06901 120.92933 0.0736248911
0.94263 0.93349 108.64298 -0.0051403511
1.01569 0.86501 130.51473 -0.0154194482
0.98769 0.96945 98.3892 -0.0071058798
1.0131 1.0223 119.12447 0.0385408239
